y,x
+1.5100E-03,+469.0327E-03
+1.5200E-03,+474.3090E-03
+1.5300E-03,+474.3090E-03
+1.5400E-03,+474.3090E-03
+1.5500E-03,+469.0327E-03
+1.5600E-03,+474.3090E-03
+1.5700E-03,+474.3090E-03
+1.5800E-03,+474.3090E-03
+1.5900E-03,+474.3090E-03
+1.6000E-03,+479.0829E-03
+1.6100E-03,+474.3090E-03
+1.6200E-03,+481.5955E-03
+1.6300E-03,+479.5854E-03
+1.6400E-03,+477.5754E-03
+1.6500E-03,+473.0528E-03
+1.6600E-03,+481.5955E-03
+1.6700E-03,+479.5854E-03
+1.6800E-03,+485.6156E-03
+1.6900E-03,+482.3492E-03
+1.7000E-03,+482.3492E-03
+1.7100E-03,+482.3492E-03
+1.7200E-03,+482.3492E-03
+1.7300E-03,+482.3492E-03
+1.7400E-03,+482.3492E-03
+1.7500E-03,+485.1131E-03
+1.7600E-03,+480.8417E-03
+1.7700E-03,+490.3894E-03
+1.7800E-03,+490.3894E-03
+1.7900E-03,+482.3492E-03
+1.8000E-03,+485.6156E-03
+1.8100E-03,+481.0930E-03
+1.8200E-03,+482.3492E-03
+1.8300E-03,+479.5854E-03
+1.8400E-03,+487.1231E-03
+1.8500E-03,+489.1332E-03
+1.8600E-03,+490.3894E-03
+1.8700E-03,+482.3492E-03
+1.8800E-03,+482.3492E-03
+1.8900E-03,+483.6055E-03
+1.9000E-03,+482.3492E-03
+1.9100E-03,+482.3492E-03
+1.9200E-03,+482.3492E-03
+1.9300E-03,+483.6055E-03
+1.9400E-03,+490.3894E-03
+1.9500E-03,+485.1131E-03
+1.9600E-03,+485.6156E-03
+1.9700E-03,+482.3492E-03
+1.9800E-03,+490.3894E-03
+1.9900E-03,+485.1131E-03
+2.0000E-03,+485.6156E-03
+2.0100E-03,+489.1332E-03
+2.0200E-03,+490.3894E-03
+2.0300E-03,+495.6658E-03
+2.0400E-03,+485.6156E-03
+2.0500E-03,+483.6055E-03
+2.0600E-03,+491.1432E-03
+2.0700E-03,+485.1131E-03
+2.0800E-03,+487.1231E-03
+2.0900E-03,+490.3894E-03
+2.1000E-03,+489.6357E-03
+2.1100E-03,+490.3894E-03
+2.1200E-03,+490.3894E-03
+2.1300E-03,+483.6055E-03
+2.1400E-03,+490.3894E-03
+2.1500E-03,+485.1131E-03
+2.1600E-03,+488.8819E-03
+2.1700E-03,+497.1734E-03
+2.1800E-03,+489.6357E-03
+2.1900E-03,+490.3894E-03
+2.2000E-03,+485.6156E-03
+2.2100E-03,+490.3894E-03
+2.2200E-03,+491.1432E-03
+2.2300E-03,+490.3894E-03
+2.2400E-03,+490.3894E-03
+2.2500E-03,+489.1332E-03
+2.2600E-03,+490.3894E-03
+2.2700E-03,+487.6256E-03
+2.2800E-03,+495.1633E-03
+2.2900E-03,+490.3894E-03
+2.3000E-03,+491.1432E-03
+2.3100E-03,+495.6658E-03
+2.3200E-03,+493.6558E-03
+2.3300E-03,+489.1332E-03
+2.3400E-03,+483.1030E-03
+2.3500E-03,+490.3894E-03
+2.3600E-03,+493.6558E-03
+2.3700E-03,+497.1734E-03
+2.3800E-03,+490.3894E-03
+2.3900E-03,+493.1533E-03
+2.4000E-03,+498.4296E-03
+2.4100E-03,+490.3894E-03
+2.4200E-03,+491.1432E-03
+2.4300E-03,+490.3894E-03
+2.4400E-03,+485.6156E-03
+2.4500E-03,+491.6457E-03
+2.4600E-03,+490.3894E-03
+2.4700E-03,+490.3894E-03
+2.4800E-03,+495.1633E-03
+2.4900E-03,+490.3894E-03
+2.5000E-03,+490.3894E-03
+2.5100E-03,+493.1533E-03
+2.5200E-03,+495.1633E-03
+2.5300E-03,+497.1734E-03
+2.5400E-03,+490.3894E-03
+2.5500E-03,+490.3894E-03
+2.5600E-03,+495.1633E-03
+2.5700E-03,+498.4296E-03
+2.5800E-03,+490.3894E-03
+2.5900E-03,+490.3894E-03
+2.6000E-03,+490.3894E-03
+2.6100E-03,+497.1734E-03
+2.6200E-03,+490.3894E-03
+2.6300E-03,+490.3894E-03
+2.6400E-03,+490.3894E-03
+2.6500E-03,+498.4296E-03
+2.6600E-03,+498.4296E-03
+2.6700E-03,+490.3894E-03
+2.6800E-03,+491.8970E-03
+2.6900E-03,+491.6457E-03
+2.7000E-03,+498.4296E-03
